,from,to
4637,Unnamed StreamRiver 14031,Unnamed ArtificialPath 4797
4638,Unnamed ArtificialPath 4730,Unnamed ArtificialPath 4050
4639,Unnamed ArtificialPath 4732,Unnamed ArtificialPath 4050
4640,Unnamed StreamRiver 13954,Unnamed CanalDitch 788
4641,Unnamed ArtificialPath 4735,Unnamed ArtificialPath 4050
4642,Unnamed ArtificialPath 4738,Unnamed ArtificialPath 4050
4643,Unnamed CanalDitch 791,Unnamed CanalDitch 790
4644,Unnamed StreamRiver 13960,Unnamed ArtificialPath 4756
4645,Unnamed ArtificialPath 4741,Unnamed ArtificialPath 4050
4646,Unnamed StreamRiver 13925,Unnamed CanalDitch 907
4647,Unnamed ArtificialPath 4743,Unnamed ArtificialPath 4050
4648,Unnamed ArtificialPath 4751,Unnamed ArtificialPath 4050
4649,Unnamed StreamRiver 12963,Judy Creek
4650,Unnamed StreamRiver 12964,Judy Creek
4651,South Fork Pine Creek,Pine Creek
4652,Unnamed StreamRiver 13780,Pine Creek
4653,Unnamed StreamRiver 13782,Pine Creek
4654,Unnamed StreamRiver 13783,Pine Creek
4655,Unnamed StreamRiver 13784,Pine Creek
4656,Unnamed StreamRiver 13785,Pine Creek
4657,Unnamed StreamRiver 12966,Willow Creek
4658,Unnamed CanalDitch 709,Willow Creek
4659,Unnamed CanalDitch 711,Willow Creek
4660,Unnamed StreamRiver 13444,Beebe Creek
4661,Shull Drain,Beebe Creek
4662,Unnamed StreamRiver 13448,Beebe Creek
4663,Unnamed StreamRiver 13455,Beebe Creek
4664,Unnamed ArtificialPath 4548,Beebe Creek
4665,Unnamed ArtificialPath 4549,Beebe Creek
4666,Unnamed CanalDitch 716,Black Run
4667,Unnamed StreamRiver 12957,Brandywine Creek
4668,Unnamed StreamRiver 12958,Brandywine Creek
4669,Unnamed StreamRiver 12959,Brandywine Creek
4670,Unnamed CanalDitch 897,Brandywine Creek
4671,Unnamed StreamRiver 14119,Hickory Creek
4672,Unnamed CanalDitch 869,Hickory Creek
4673,Unnamed StreamRiver 14120,Hickory Creek
4674,Unnamed StreamRiver 14127,Hickory Creek
4675,Unnamed StreamRiver 14121,Unnamed StreamRiver 14122
4676,Unnamed StreamRiver 14128,Hickory Creek
4677,North Branch Hickory Creek,Hickory Creek
4678,Unnamed StreamRiver 14129,Hickory Creek
4679,Unnamed StreamRiver 14132,Hickory Creek
4680,Unnamed Connector 360,Hickory Creek
4681,Unnamed StreamRiver 14272,Hickory Creek
4682,Unnamed StreamRiver 12876,Pipestone Creek
4683,Unnamed StreamRiver 12877,Pipestone Creek
4684,Unnamed CanalDitch 702,Pipestone Creek
4685,Unnamed CanalDitch 703,Pipestone Creek
4686,Unnamed StreamRiver 12880,Pipestone Creek
4687,Unnamed StreamRiver 12884,Pipestone Creek
4688,Unnamed StreamRiver 12885,Pipestone Creek
4689,Unnamed StreamRiver 12890,Pipestone Creek
4690,Unnamed StreamRiver 13285,Riley Creek
4691,Unnamed StreamRiver 13286,Riley Creek
4692,Unnamed StreamRiver 13287,Riley Creek
4693,Unnamed StreamRiver 13288,Riley Creek
4694,Unnamed StreamRiver 13406,Tekonsha Creek
4695,Unnamed StreamRiver 13407,Tekonsha Creek
4696,Unnamed StreamRiver 13408,Tekonsha Creek
4697,Unnamed StreamRiver 13409,Tekonsha Creek
4698,Unnamed StreamRiver 13416,Tekonsha Creek
4699,Unnamed StreamRiver 13018,Trout Creek
4700,Mud Creek,Trout Creek
4701,Unnamed StreamRiver 12891,Love Creek
4702,Unnamed StreamRiver 12892,Farmers Creek
4703,Unnamed StreamRiver 12893,Farmers Creek
4704,Unnamed StreamRiver 12894,Farmers Creek
4705,Unnamed Connector 348,Farmers Creek
4706,Unnamed StreamRiver 12897,Unnamed ArtificialPath 4086
4707,Unnamed StreamRiver 12969,Cobus Creek
4708,Unnamed CanalDitch 712,Cobus Creek
4709,Unnamed StreamRiver 14292,Cobus Creek
4710,Unnamed StreamRiver 13002,Unnamed ArtificialPath 4117
4711,Unnamed StreamRiver 13007,Unnamed ArtificialPath 4117
4712,Profile Lake Drain,Mill Creek
4713,Unnamed StreamRiver 13033,Mill Creek
4714,Unnamed Connector 323,Mill Creek
4715,Unnamed StreamRiver 13267,Unnamed StreamRiver 13260
4716,Unnamed StreamRiver 13268,Unnamed StreamRiver 13260
4717,Unnamed StreamRiver 13269,Unnamed StreamRiver 13260
4718,Unnamed StreamRiver 13271,Unnamed StreamRiver 13260
4719,Unnamed StreamRiver 13272,Unnamed StreamRiver 13260
4720,Unnamed StreamRiver 13273,Unnamed StreamRiver 13260
4721,Unnamed StreamRiver 13276,Unnamed StreamRiver 13274
4722,Unnamed StreamRiver 13284,Unnamed StreamRiver 13281
4723,Unnamed StreamRiver 13399,Unnamed StreamRiver 13393
4724,Unnamed StreamRiver 13400,Unnamed StreamRiver 13393
4725,Unnamed StreamRiver 13401,Unnamed StreamRiver 13393
4726,Unnamed StreamRiver 13402,Unnamed StreamRiver 13393
4727,Unnamed StreamRiver 13403,Unnamed StreamRiver 13393
4728,Unnamed StreamRiver 13458,Unnamed StreamRiver 13457
4729,Unnamed StreamRiver 13469,Unnamed StreamRiver 13468
4730,Unnamed StreamRiver 13474,Spencer Creek
4731,Unnamed StreamRiver 13475,Spencer Creek
4732,Unnamed ArtificialPath 4642,Spencer Creek
4733,Unnamed ArtificialPath 4643,Spencer Creek
4734,Unnamed StreamRiver 13738,Unnamed ArtificialPath 4307
4735,Unnamed StreamRiver 13742,Unnamed ArtificialPath 4307
4736,Unnamed StreamRiver 13744,Unnamed ArtificialPath 4307
4737,Unnamed StreamRiver 14085,Unnamed ArtificialPath 4405
4738,Unnamed StreamRiver 14086,Unnamed ArtificialPath 4405
4739,Unnamed StreamRiver 14087,Unnamed ArtificialPath 4405
4740,Unnamed Pipeline 14,Unnamed ArtificialPath 4405
4741,Unnamed StreamRiver 12776,Bowman Creek
4742,Unnamed StreamRiver 14190,Bowman Creek
4743,Unnamed StreamRiver 14208,Bowman Creek
4744,Unnamed StreamRiver 14289,Bowman Creek
4745,Unnamed StreamRiver 14100,Unnamed ArtificialPath 4415
4746,Unnamed StreamRiver 14105,Unnamed ArtificialPath 4416
4747,Unnamed StreamRiver 14107,Unnamed ArtificialPath 4422
4748,Unnamed CanalDitch 866,Unnamed ArtificialPath 4427
4749,Unnamed StreamRiver 14114,Unnamed ArtificialPath 4427
4750,Unnamed StreamRiver 14115,Unnamed ArtificialPath 4427
4751,Unnamed StreamRiver 14116,Unnamed ArtificialPath 4427
4752,Flowerfield Creek,Rocky River
4753,Unnamed StreamRiver 13041,Spring Creek
4754,Unnamed StreamRiver 12677,Rocky River
4755,Sheldon Creek,Rocky River
4756,Unnamed StreamRiver 13040,Rocky River
4757,Unnamed StreamRiver 13046,Rocky River
4758,Unnamed StreamRiver 13048,Rocky River
4759,Unnamed StreamRiver 13052,Rocky River
4760,Unnamed StreamRiver 13056,Rocky River
4761,Unnamed StreamRiver 13059,Unnamed StreamRiver 13058
4762,Unnamed StreamRiver 13062,Rocky River
4763,Unnamed StreamRiver 13063,Rocky River
4764,Unnamed StreamRiver 13065,Rocky River
4765,Unnamed StreamRiver 13067,Rocky River
4766,Unnamed StreamRiver 13068,Rocky River
4767,Armalege Drain,Rocky River
4768,Kerr Creek,Rocky River
4769,Unnamed ArtificialPath 4152,Rocky River
4770,Unnamed StreamRiver 13011,Unnamed ArtificialPath 4468
4771,Unnamed StreamRiver 13014,Unnamed ArtificialPath 4468
4772,Unnamed StreamRiver 13016,Unnamed ArtificialPath 4468
4773,Nye Drain,Unnamed ArtificialPath 4483
4774,Sherman Mill Creek,Unnamed ArtificialPath 4483
4775,Unnamed ArtificialPath 4553,Unnamed ArtificialPath 4551
4776,Unnamed StreamRiver 13554,Unnamed ArtificialPath 4483
4777,Unnamed CanalDitch 719,Unnamed ArtificialPath 4483
4778,Unnamed StreamRiver 13556,Unnamed ArtificialPath 4483
4779,Unnamed StreamRiver 13558,Unnamed ArtificialPath 4483
4780,Unnamed StreamRiver 13563,Unnamed ArtificialPath 4483
4781,Unnamed StreamRiver 13564,Unnamed ArtificialPath 4483
4782,Unnamed StreamRiver 13565,Unnamed ArtificialPath 4483
4783,Unnamed StreamRiver 13574,Unnamed ArtificialPath 4483
4784,Unnamed StreamRiver 13581,Unnamed ArtificialPath 4483
4785,Unnamed StreamRiver 13586,Unnamed ArtificialPath 4483
4786,Unnamed StreamRiver 13598,Unnamed ArtificialPath 4483
4787,Unnamed StreamRiver 13599,Unnamed ArtificialPath 4483
4788,Unnamed StreamRiver 13602,Unnamed ArtificialPath 4483
4789,Unnamed StreamRiver 13613,Unnamed ArtificialPath 4483
4790,Unnamed StreamRiver 13619,Unnamed ArtificialPath 4483
4791,Unnamed StreamRiver 13625,Unnamed ArtificialPath 4483
4792,Unnamed StreamRiver 13626,Unnamed ArtificialPath 4483
4793,Unnamed StreamRiver 13627,Unnamed ArtificialPath 4483
4794,Unnamed StreamRiver 13628,Unnamed ArtificialPath 4483
4795,Unnamed StreamRiver 13629,Unnamed ArtificialPath 4483
4796,Unnamed StreamRiver 13630,Unnamed ArtificialPath 4483
4797,Unnamed StreamRiver 13633,Unnamed ArtificialPath 4483
4798,Unnamed StreamRiver 13640,Unnamed ArtificialPath 4483
4799,Unnamed StreamRiver 13641,Unnamed ArtificialPath 4483
4800,Unnamed CanalDitch 721,Unnamed ArtificialPath 4483
4801,Unnamed StreamRiver 13642,Unnamed ArtificialPath 4483
4802,Unnamed StreamRiver 13643,Unnamed ArtificialPath 4483
4803,Unnamed CanalDitch 726,Unnamed ArtificialPath 4483
4804,Unnamed StreamRiver 13644,Unnamed ArtificialPath 4483
4805,Unnamed ArtificialPath 4660,Unnamed ArtificialPath 4483
4806,Unnamed ArtificialPath 4666,Unnamed ArtificialPath 4483
4807,Unnamed ArtificialPath 4671,Unnamed ArtificialPath 4483
4808,Unnamed ArtificialPath 4672,Unnamed ArtificialPath 4483
4809,Unnamed ArtificialPath 4675,Unnamed ArtificialPath 4483
4810,Unnamed ArtificialPath 4685,Unnamed ArtificialPath 4483
4811,Unnamed ArtificialPath 4571,Unnamed ArtificialPath 4497
4812,Unnamed StreamRiver 12715,Unnamed ArtificialPath 4799
4813,Unnamed StreamRiver 14313,Unnamed StreamRiver 14299
4814,Cedar Creek,Unnamed StreamRiver 14299
4815,Unnamed StreamRiver 14498,Unnamed StreamRiver 14496
4816,Butternut Creek,Unnamed StreamRiver 14299
4817,Unnamed StreamRiver 14548,Tripp and Extension Drain
4818,Unnamed StreamRiver 14492,Unnamed StreamRiver 14299
4819,Unnamed StreamRiver 14493,Unnamed StreamRiver 14299
4820,Unnamed StreamRiver 14494,Unnamed StreamRiver 14299
4821,Unnamed StreamRiver 14495,Unnamed StreamRiver 14299
4822,Unnamed StreamRiver 14500,Unnamed StreamRiver 14299
4823,Maple Creek,Unnamed StreamRiver 14299
4824,Unnamed StreamRiver 14505,Unnamed StreamRiver 14504
4825,Unnamed StreamRiver 14652,Unnamed StreamRiver 14665
4826,Unnamed StreamRiver 14508,Unnamed StreamRiver 14299
4827,Unnamed StreamRiver 14514,Unnamed StreamRiver 14299
4828,Unnamed StreamRiver 14517,Unnamed StreamRiver 14299
4829,Unnamed StreamRiver 14518,Unnamed StreamRiver 14299
4830,Unnamed StreamRiver 14522,Unnamed StreamRiver 14299
4831,Unnamed StreamRiver 14524,Unnamed StreamRiver 14299
4832,Lower Jeptha Lake Drain,Unnamed StreamRiver 14299
4833,Unnamed StreamRiver 14529,Unnamed StreamRiver 14299
4834,Unnamed StreamRiver 14532,Unnamed StreamRiver 14299
4835,Unnamed StreamRiver 14537,Unnamed StreamRiver 14299
4836,Unnamed StreamRiver 14540,Unnamed StreamRiver 14299
4837,Barber Creek,Middle Branch Black River
4838,Unnamed StreamRiver 14576,Unnamed StreamRiver 14573
4839,Scott Creek Drain,Middle Branch Black River
4840,Ockford Drain,Elm Creek Drain
4841,Spicebush Creek,Middle Branch Black River
4842,Unnamed StreamRiver 14549,Middle Branch Black River
4843,Little Bear Lake Drain,Middle Branch Black River
4844,Unnamed StreamRiver 14564,Middle Branch Black River
4845,Unnamed StreamRiver 14567,Middle Branch Black River
4846,Spring Brook,Middle Branch Black River
4847,Unnamed StreamRiver 14570,Unnamed StreamRiver 14568
4848,Unnamed StreamRiver 14571,Unnamed StreamRiver 14568
4849,Unnamed StreamRiver 14578,Middle Branch Black River
4850,Unnamed StreamRiver 14586,Middle Branch Black River
4851,Unnamed ArtificialPath 4847,Middle Branch Black River
4852,Unnamed StreamRiver 14321,Unnamed StreamRiver 14320
4853,Unnamed StreamRiver 14595,Unnamed StreamRiver 14320
4854,Unnamed StreamRiver 14591,Unnamed StreamRiver 14589
4855,Unnamed StreamRiver 14602,Unnamed StreamRiver 14600
4856,Unnamed StreamRiver 14604,Unnamed StreamRiver 14600
4857,Unnamed StreamRiver 14337,Unnamed StreamRiver 14332
4858,Unnamed StreamRiver 14342,Unnamed StreamRiver 14332
4859,Unnamed StreamRiver 14343,Unnamed StreamRiver 14332
4860,Unnamed StreamRiver 14347,Unnamed StreamRiver 14332
4861,Unnamed StreamRiver 14349,Unnamed StreamRiver 14332
4862,Unnamed StreamRiver 14350,Unnamed StreamRiver 14332
4863,Unnamed CanalDitch 928,Unnamed StreamRiver 14332
4864,Unnamed CanalDitch 929,Unnamed StreamRiver 14332
4865,Unnamed StreamRiver 14356,Unnamed ArtificialPath 4807
4866,Unnamed StreamRiver 14357,Unnamed ArtificialPath 4807
4867,Unnamed StreamRiver 14358,Unnamed ArtificialPath 4807
4868,Unnamed StreamRiver 14626,Unnamed StreamRiver 14625
4869,Unnamed StreamRiver 14633,Unnamed StreamRiver 14625
4870,Unnamed StreamRiver 14634,Unnamed StreamRiver 14625
4871,Unnamed StreamRiver 14366,North Branch Macatawa River
4872,Unnamed StreamRiver 14367,North Branch Macatawa River
4873,Unnamed StreamRiver 14368,North Branch Macatawa River
4874,Unnamed StreamRiver 14369,North Branch Macatawa River
4875,Unnamed StreamRiver 14373,North Branch Macatawa River
4876,Unnamed StreamRiver 14374,North Branch Macatawa River
4877,Unnamed StreamRiver 14377,North Branch Macatawa River
4878,Unnamed StreamRiver 14327,South Branch Macatawa River
4879,Unnamed StreamRiver 14330,Unnamed StreamRiver 14328
4880,Unnamed StreamRiver 14676,Unnamed StreamRiver 14675
4881,Unnamed StreamRiver 14378,South Branch Macatawa River
4882,Unnamed StreamRiver 14382,South Branch Macatawa River
4883,Unnamed StreamRiver 14388,South Branch Macatawa River
4884,Unnamed StreamRiver 14389,South Branch Macatawa River
4885,Unnamed StreamRiver 14392,Unnamed StreamRiver 14391
4886,Unnamed StreamRiver 14395,Unnamed StreamRiver 14391
4887,Unnamed StreamRiver 14404,Unnamed StreamRiver 14391
4888,Unnamed StreamRiver 14405,Unnamed StreamRiver 14391
4889,Unnamed StreamRiver 14406,Unnamed StreamRiver 14391
4890,Unnamed StreamRiver 14407,Unnamed StreamRiver 14391
4891,Unnamed StreamRiver 14412,Unnamed StreamRiver 14411
4892,Unnamed StreamRiver 14415,Unnamed StreamRiver 14411
4893,Unnamed StreamRiver 14427,Unnamed StreamRiver 14425
4894,Unnamed StreamRiver 14433,Unnamed StreamRiver 14432
4895,Unnamed StreamRiver 14436,Unnamed StreamRiver 14432
4896,Unnamed StreamRiver 14438,Unnamed StreamRiver 14432
4897,Unnamed StreamRiver 14441,Unnamed StreamRiver 14432
4898,Unnamed StreamRiver 14442,Unnamed StreamRiver 14432
4899,Unnamed StreamRiver 14450,Unnamed StreamRiver 14447
4900,Unnamed StreamRiver 14452,Unnamed StreamRiver 14432
4901,Unnamed StreamRiver 14455,Unnamed StreamRiver 14432
4902,Unnamed StreamRiver 14457,Unnamed StreamRiver 14456
4903,Unnamed StreamRiver 14463,Unnamed StreamRiver 14456
4904,Unnamed StreamRiver 14464,Unnamed StreamRiver 14456
4905,Unnamed StreamRiver 14466,Unnamed StreamRiver 14456
4906,Unnamed StreamRiver 14471,Unnamed ArtificialPath 4842
4907,Unnamed StreamRiver 14478,Unnamed ArtificialPath 4846
4908,Unnamed StreamRiver 14480,Unnamed ArtificialPath 4846
4909,Unnamed StreamRiver 14363,Unnamed ArtificialPath 4848
4910,Unnamed StreamRiver 15232,Swan Creek
4911,Unnamed StreamRiver 15233,Swan Creek
4912,Unnamed StreamRiver 15239,Swan Creek
4913,Unnamed ArtificialPath 5074,Swan Creek
4914,West Fork Portage Creek,Portage Creek
4915,Unnamed StreamRiver 15322,Portage Creek
4916,Unnamed StreamRiver 14746,Unnamed StreamRiver 15285
4917,Unnamed StreamRiver 14745,Unnamed StreamRiver 15321
4918,Unnamed StreamRiver 15194,Unnamed StreamRiver 15321
4919,Unnamed StreamRiver 14685,Wilder Creek
4920,Unnamed StreamRiver 14687,Unnamed StreamRiver 14686
4921,Unnamed StreamRiver 15169,Wilder Creek
4922,Unnamed StreamRiver 15170,Wilder Creek
4923,Unnamed StreamRiver 15173,Wilder Creek
4924,Unnamed StreamRiver 15136,North Branch Kalamazoo River
4925,Unnamed StreamRiver 15137,North Branch Kalamazoo River
4926,Unnamed StreamRiver 15138,North Branch Kalamazoo River
4927,Unnamed ArtificialPath 4967,North Branch Kalamazoo River
4928,Unnamed StreamRiver 15156,North Branch Kalamazoo River
4929,Unnamed StreamRiver 15157,North Branch Kalamazoo River
4930,Unnamed ArtificialPath 5048,North Branch Kalamazoo River
4931,Unnamed ArtificialPath 5079,North Branch Kalamazoo River
4932,Unnamed ArtificialPath 5080,North Branch Kalamazoo River
4933,Unnamed ArtificialPath 5119,North Branch Kalamazoo River
4934,Unnamed ArtificialPath 5122,North Branch Kalamazoo River
4935,South Branch Rice Creek,Rice Creek
4936,Unnamed StreamRiver 15101,Rice Creek
4937,Unnamed StreamRiver 15274,Rice Creek
4938,Unnamed StreamRiver 15303,Rice Creek
4939,Unnamed CanalDitch 982,Rice Creek
4940,Unnamed StreamRiver 15337,Rice Creek
4941,Unnamed StreamRiver 15348,Rice Creek
4942,Unnamed ArtificialPath 5081,Rice Creek
4943,Unnamed ArtificialPath 5114,Rice Creek
4944,Unnamed ArtificialPath 5115,Rice Creek
4945,Unnamed StreamRiver 14688,Battle Creek
4946,Indian Creek,Battle Creek
4947,Unnamed StreamRiver 15045,Unnamed StreamRiver 15044
4948,Unnamed StreamRiver 15271,Unnamed StreamRiver 15044
4949,Wanadoga Creek,Battle Creek
4950,Unnamed StreamRiver 15077,Crooked Brook
4951,Unnamed StreamRiver 15078,Crooked Brook
4952,Unnamed StreamRiver 15086,Ellis Creek
4953,Unnamed StreamRiver 15083,Unnamed StreamRiver 15079
4954,Unnamed StreamRiver 15084,Unnamed StreamRiver 15079
4955,Ackley Creek,Battle Creek
4956,Big Creek,Battle Creek
4957,Unnamed StreamRiver 15051,Unnamed StreamRiver 15049
4958,Unnamed StreamRiver 15029,Battle Creek
4959,Unnamed ArtificialPath 4932,Battle Creek
4960,Unnamed StreamRiver 15039,Battle Creek
4961,Unnamed StreamRiver 15052,Battle Creek
4962,Unnamed StreamRiver 15053,Battle Creek
4963,Unnamed StreamRiver 15055,Battle Creek
4964,Unnamed StreamRiver 15056,Battle Creek
4965,Unnamed StreamRiver 15058,Battle Creek
4966,Unnamed StreamRiver 15059,Battle Creek
4967,Unnamed StreamRiver 15060,Battle Creek
4968,Unnamed StreamRiver 15061,Battle Creek
4969,Unnamed StreamRiver 15062,Battle Creek
4970,Unnamed StreamRiver 15063,Battle Creek
4971,Unnamed StreamRiver 15065,Battle Creek
4972,Unnamed StreamRiver 15068,Battle Creek
4973,Unnamed StreamRiver 15073,Battle Creek
4974,Unnamed ArtificialPath 4938,Battle Creek
4975,Unnamed StreamRiver 15075,Battle Creek
4976,Unnamed StreamRiver 15076,Battle Creek
4977,Unnamed ArtificialPath 5084,Battle Creek
4978,Unnamed StreamRiver 14955,Gun River
4979,Unnamed StreamRiver 14956,Gun River
4980,Unnamed StreamRiver 14957,Gun River
4981,Orangeville Creek,Gun River
4982,Unnamed StreamRiver 14964,Gun River
4983,Unnamed StreamRiver 14968,Gun River
4984,Fenner Creek,Gun River
4985,Unnamed StreamRiver 14983,Gun River
4986,Unnamed StreamRiver 14984,Gun River
4987,Unnamed StreamRiver 14985,Gun River
4988,Unnamed StreamRiver 14986,Gun River
4989,Unnamed StreamRiver 14987,Gun River
4990,Unnamed CanalDitch 989,Gun River
4991,Unnamed ArtificialPath 5104,Gun River
4992,Unnamed ArtificialPath 5108,Gun River
4993,Unnamed CanalDitch 995,Gun River
4994,Unnamed StreamRiver 14690,Rabbit River
4995,Unnamed StreamRiver 14833,Unnamed StreamRiver 14830
4996,Little Rabbit River,Rabbit River
4997,Unnamed StreamRiver 14853,Unnamed StreamRiver 14851
4998,Unnamed StreamRiver 14866,Unnamed StreamRiver 14864
4999,Unnamed StreamRiver 14868,Unnamed StreamRiver 14864
5000,Unnamed StreamRiver 14858,Unnamed StreamRiver 15330
5001,Unnamed StreamRiver 14861,Unnamed StreamRiver 15330
5002,Black Creek,Rabbit River
5003,Unnamed StreamRiver 14885,Unnamed StreamRiver 14881
5004,Unnamed StreamRiver 14886,Unnamed StreamRiver 14881
5005,Unnamed StreamRiver 14889,Unnamed StreamRiver 14887
5006,Unnamed StreamRiver 14877,Unnamed ArtificialPath 5087
5007,Unnamed StreamRiver 14878,Unnamed ArtificialPath 5087
5008,Unnamed StreamRiver 14879,Unnamed ArtificialPath 5087
5009,Unnamed StreamRiver 14880,Unnamed ArtificialPath 5087
5010,Bear Creek,Rabbit River
5011,Unnamed StreamRiver 14781,Unnamed StreamRiver 14778
5012,Unnamed StreamRiver 14790,Unnamed StreamRiver 14789
5013,Buskirk Creek,Rabbit River
5014,Miller Creek,Rabbit River
5015,Pigeon Creek,Rabbit River
5016,Unnamed StreamRiver 14774,Unnamed StreamRiver 14770
5017,Unnamed StreamRiver 14775,Unnamed StreamRiver 14770
5018,Unnamed StreamRiver 14761,Rabbit River
5019,Unnamed StreamRiver 14765,Rabbit River
5020,Unnamed StreamRiver 14766,Rabbit River
5021,Unnamed StreamRiver 14776,Rabbit River
5022,Miller Creek,Rabbit River
5023,Unnamed StreamRiver 14799,Unnamed StreamRiver 14796
5024,Unnamed StreamRiver 14806,Unnamed StreamRiver 14804
5025,Unnamed StreamRiver 14808,Rabbit River
5026,Unnamed StreamRiver 14811,Rabbit River
5027,Unnamed StreamRiver 14813,Rabbit River
5028,Unnamed StreamRiver 14814,Rabbit River
5029,Unnamed StreamRiver 14822,Rabbit River
5030,Unnamed StreamRiver 14823,Rabbit River
5031,Unnamed ArtificialPath 4877,Rabbit River
5032,Unnamed StreamRiver 14827,Rabbit River
5033,Unnamed StreamRiver 14840,Rabbit River
5034,Unnamed StreamRiver 14841,Rabbit River
5035,Unnamed StreamRiver 14842,Rabbit River
5036,Unnamed StreamRiver 14844,Rabbit River
5037,Unnamed StreamRiver 14845,Rabbit River
5038,Unnamed StreamRiver 14893,Rabbit River
5039,Unnamed StreamRiver 14901,Rabbit River
5040,Unnamed StreamRiver 14902,Rabbit River
5041,Unnamed StreamRiver 14903,Rabbit River
5042,Unnamed StreamRiver 14913,Rabbit River
5043,Unnamed StreamRiver 14914,Rabbit River
5044,Unnamed StreamRiver 14915,Rabbit River
5045,Unnamed CanalDitch 991,Rabbit River
5046,Unnamed StreamRiver 15354,Rabbit River
5047,Unnamed ArtificialPath 5086,Rabbit River
5048,Unnamed StreamRiver 14702,Bear Creek
5049,Unnamed StreamRiver 14916,Bear Creek
5050,Unnamed StreamRiver 14919,Bear Creek
5051,Unnamed StreamRiver 15016,Gull Creek
5052,Unnamed StreamRiver 15242,Mann Creek
5053,Unnamed StreamRiver 15243,Mann Creek
5054,Unnamed StreamRiver 14708,Minges Brook
5055,Unnamed StreamRiver 15088,Minges Brook
5056,Brickyard Creek,Minges Brook
5057,Harper Creek,Minges Brook
5058,Unnamed StreamRiver 15090,Barnum Creek
5059,Unnamed StreamRiver 15091,Barnum Creek
5060,Unnamed StreamRiver 14920,Sand Creek
5061,Unnamed StreamRiver 14921,Sand Creek
5062,Unnamed StreamRiver 14923,Sand Creek
5063,Unnamed StreamRiver 14940,Unnamed ArtificialPath 4860
5064,Unnamed StreamRiver 14945,Unnamed ArtificialPath 4860
5065,Miner Creek,Unnamed ArtificialPath 4860
5066,Unnamed StreamRiver 14949,School Section Brook
5067,Unnamed StreamRiver 14953,Unnamed ArtificialPath 4860
5068,Spring Brook,Sevenmile Creek
5069,Unnamed StreamRiver 15021,Sevenmile Creek
5070,Unnamed StreamRiver 14989,Silver Creek
5071,Unnamed StreamRiver 14998,Spring Brook
5072,Unnamed StreamRiver 14999,Spring Brook
5073,Unnamed StreamRiver 15000,Spring Brook
5074,Unnamed StreamRiver 15003,Spring Brook
5075,Unnamed StreamRiver 15005,Spring Brook
5076,Unnamed StreamRiver 15006,Spring Brook
5077,Unnamed StreamRiver 14930,Unnamed ArtificialPath 4880
5078,Unnamed StreamRiver 15353,Unnamed ArtificialPath 4880
5079,Unnamed StreamRiver 14997,Unnamed ArtificialPath 4907
5080,Unnamed StreamRiver 15017,Augusta Creek
5081,Unnamed StreamRiver 15257,Augusta Creek
5082,Unnamed StreamRiver 14736,Wabascon Creek
5083,Unnamed StreamRiver 15024,Wabascon Creek
5084,Unnamed StreamRiver 15026,Wabascon Creek
5085,Unnamed StreamRiver 15027,Wabascon Creek
5086,Unnamed StreamRiver 15260,Wabascon Creek
5087,Unnamed StreamRiver 15276,Wabascon Creek
5088,Unnamed StreamRiver 15309,Wabascon Creek
5089,Unnamed Connector 374,Wabascon Creek
5090,Unnamed StreamRiver 15106,Unnamed StreamRiver 15105
5091,Unnamed CanalDitch 977,Unnamed StreamRiver 15105
5092,Unnamed StreamRiver 15112,Unnamed StreamRiver 15110
5093,Unnamed StreamRiver 15115,Unnamed StreamRiver 15114
5094,Unnamed StreamRiver 15124,Unnamed StreamRiver 15119
5095,Unnamed StreamRiver 15135,Unnamed StreamRiver 15134
5096,Unnamed StreamRiver 15269,Unnamed StreamRiver 15134
5097,Unnamed StreamRiver 15177,Unnamed ArtificialPath 4978
5098,Unnamed StreamRiver 15184,Unnamed ArtificialPath 4984
5099,Unnamed ArtificialPath 5125,Unnamed ArtificialPath 4986
5100,Unnamed StreamRiver 15197,Unnamed ArtificialPath 4994
5101,Unnamed ArtificialPath 5066,Unnamed ArtificialPath 5000
5102,Unnamed StreamRiver 15358,Unnamed ArtificialPath 5017
5103,Unnamed ArtificialPath 5028,Unnamed ArtificialPath 5019
5104,Unnamed StreamRiver 15250,Unnamed ArtificialPath 5019
5105,Unnamed ArtificialPath 5071,Unnamed ArtificialPath 5019
5106,Unnamed StreamRiver 15204,Unnamed ArtificialPath 5054
5107,Base Line Creek,Pine Creek
5108,Unnamed ArtificialPath 5128,Unnamed StreamRiver 15208
5109,Unnamed StreamRiver 14741,Pine Creek
5110,Unnamed StreamRiver 15213,Pine Creek
5111,Unnamed StreamRiver 15214,Pine Creek
5112,Unnamed StreamRiver 15215,Pine Creek
5113,Unnamed StreamRiver 15218,Pine Creek
5114,Unnamed StreamRiver 15220,Pine Creek
5115,Unnamed ArtificialPath 5131,Pine Creek
5116,Unnamed StreamRiver 14924,Unnamed ArtificialPath 5076
5117,Unnamed StreamRiver 14925,Unnamed ArtificialPath 5076
5118,Unnamed StreamRiver 14928,Unnamed ArtificialPath 5076
5119,Unnamed ArtificialPath 5095,Unnamed ArtificialPath 5076
5120,Unnamed StreamRiver 15289,Unnamed ArtificialPath 5141
5121,Unnamed StreamRiver 15346,Unnamed ArtificialPath 5141
5122,Unnamed StreamRiver 14752,Unnamed ArtificialPath 5143
