,from,to
116,Unnamed ArtificialPath 435,Unnamed ArtificialPath 434
117,Unnamed ArtificialPath 442,Unnamed ArtificialPath 434
118,Unnamed ArtificialPath 444,Unnamed ArtificialPath 434
119,Unnamed ArtificialPath 446,Unnamed ArtificialPath 434
120,Unnamed ArtificialPath 593,Unnamed ArtificialPath 434
121,Unnamed StreamRiver 9,Thompson Creek
122,Unnamed ArtificialPath 441,Bally Creek
123,Unnamed StreamRiver 490,Mississippi Creek
124,Unnamed StreamRiver 491,Mississippi Creek
125,Unnamed StreamRiver 492,Mississippi Creek
126,Unnamed StreamRiver 493,Mississippi Creek
127,Unnamed StreamRiver 464,Unnamed StreamRiver 462
128,Unnamed StreamRiver 165,Unnamed StreamRiver 489
129,Unnamed ArtificialPath 437,Unnamed StreamRiver 10
130,Unnamed StreamRiver 421,Unnamed StreamRiver 10
131,Unnamed StreamRiver 422,Unnamed StreamRiver 10
132,Unnamed StreamRiver 425,Unnamed StreamRiver 10
133,Unnamed StreamRiver 426,Unnamed StreamRiver 10
134,Unnamed StreamRiver 12,Missouri Creek
135,Unnamed StreamRiver 26,Barker Creek
136,Unnamed StreamRiver 444,Barker Creek
137,Unnamed ArtificialPath 577,Caribou Creek
138,Unnamed StreamRiver 419,Caribou Creek
139,Unnamed ArtificialPath 472,Unnamed ArtificialPath 438
140,Unnamed ArtificialPath 474,Unnamed ArtificialPath 438
141,Unnamed ArtificialPath 478,Unnamed ArtificialPath 438
142,Unnamed ArtificialPath 479,Unnamed ArtificialPath 438
143,Burnt Creek,Unnamed ArtificialPath 438
144,Unnamed ArtificialPath 76,Unnamed ArtificialPath 438
145,Unnamed StreamRiver 299,Unnamed ArtificialPath 438
146,Unnamed StreamRiver 394,Unnamed ArtificialPath 481
147,Unnamed ArtificialPath 488,Unnamed ArtificialPath 487
148,Unnamed StreamRiver 395,Unnamed ArtificialPath 2
149,Cedar Creek,Heartbreak Creek
150,Unnamed StreamRiver 406,Heartbreak Creek
151,Unnamed StreamRiver 407,Heartbreak Creek
152,Unnamed StreamRiver 400,Pancake Creek
153,Unnamed StreamRiver 285,Sixmile Creek
154,Unnamed StreamRiver 668,Unnamed StreamRiver 305
155,Unnamed StreamRiver 669,Unnamed StreamRiver 305
156,Unnamed StreamRiver 673,Unnamed StreamRiver 305
157,Unnamed StreamRiver 817,Unnamed StreamRiver 305
158,Unnamed ArtificialPath 493,Unnamed StreamRiver 305
159,Unnamed ArtificialPath 495,Unnamed StreamRiver 305
160,Unnamed ArtificialPath 498,Unnamed StreamRiver 305
161,Unnamed ArtificialPath 499,Unnamed StreamRiver 305
162,Unnamed ArtificialPath 501,Unnamed StreamRiver 305
163,Unnamed ArtificialPath 504,Unnamed StreamRiver 305
164,Unnamed StreamRiver 791,Unnamed ArtificialPath 569
165,Unnamed ArtificialPath 811,Unnamed ArtificialPath 569
166,Unnamed ArtificialPath 571,Unnamed ArtificialPath 570
167,Unnamed ArtificialPath 573,Unnamed ArtificialPath 570
168,Unnamed ArtificialPath 505,Unnamed StreamRiver 305
169,Unnamed ArtificialPath 509,Unnamed StreamRiver 305
170,Unnamed ArtificialPath 512,Unnamed StreamRiver 305
171,Unnamed ArtificialPath 520,Unnamed StreamRiver 305
172,Unnamed ArtificialPath 515,Unnamed ArtificialPath 517
173,Unnamed ArtificialPath 521,Unnamed StreamRiver 305
174,Unnamed ArtificialPath 526,Unnamed StreamRiver 305
175,Unnamed ArtificialPath 548,Unnamed ArtificialPath 556
176,Unnamed ArtificialPath 529,Unnamed StreamRiver 305
177,Unnamed ArtificialPath 557,Unnamed ArtificialPath 522
178,Unnamed ArtificialPath 531,Unnamed StreamRiver 305
179,Unnamed ArtificialPath 534,Unnamed StreamRiver 305
180,Unnamed ArtificialPath 685,Unnamed StreamRiver 305
181,Unnamed StreamRiver 356,Unnamed StreamRiver 305
182,Swanson Creek,Koski Creek
183,Unnamed StreamRiver 398,Torgenson Creek
184,Unnamed StreamRiver 401,Blind Temperance Creek
185,Unnamed ArtificialPath 456,Fourmile Creek
186,Unnamed StreamRiver 268,Fourmile Creek
187,Wanless Creek,Houghtaling Creek
188,Unnamed StreamRiver 280,Houghtaling Creek
189,Unnamed StreamRiver 261,Unnamed StreamRiver 258
190,Unnamed StreamRiver 225,Ninemile Creek
191,Unnamed StreamRiver 816,Moose Creek
192,Unnamed StreamRiver 226,Moose Creek
193,Unnamed StreamRiver 828,South Branch Manitou River
194,Junction Creek,South Branch Manitou River
195,Unnamed StreamRiver 239,South Branch Manitou River
196,Unnamed StreamRiver 1050,Big Thirtynine Creek
197,Unnamed StreamRiver 1051,Big Thirtynine Creek
198,Unnamed StreamRiver 1052,Big Thirtynine Creek
199,Unnamed StreamRiver 1053,Big Thirtynine Creek
200,Little Thirtynine Creek,Big Thirtynine Creek
201,Unnamed StreamRiver 1082,Big Thirtynine Creek
202,Hen Creek,East Branch Beaver River
203,Unnamed StreamRiver 1034,East Branch Beaver River
204,Unnamed StreamRiver 1037,East Branch Beaver River
